Date,Price,MarketCap,TotalVolume,Currency
2023-08-04,29176.15059658541,567940644790.4882,12539132810.40034,Bitcoin
2023-08-05,29087.938086007627,565073127339.627,12112869085.655884,Bitcoin
2023-08-06,29046.800457023197,564970113457.8998,5335308729.48437,Bitcoin
2023-08-07,29044.204375577556,564947914083.0184,5360283576.269965,Bitcoin
2023-08-08,29178.147751873083,567529179865.8152,13252185122.112452,Bitcoin
2023-08-09,29779.56167125089,579214283623.8071,14603570418.91888,Bitcoin
2023-08-10,29585.48807737921,575535414817.4033,14633310097.491423,Bitcoin
2023-08-11,29423.81891597763,572414205818.4142,8106253519.025447,Bitcoin
2023-08-12,29396.8479714205,571976559045.8302,4651950357.636653,Bitcoin
2023-08-13,29412.142274584105,572257798803.9086,3994297895.288944,Bitcoin
2023-08-14,29284.96971374381,569687130446.7833,4755220448.634491,Bitcoin
2023-08-15,29400.58680419105,572242735188.2397,12408355477.111338,Bitcoin
2023-08-16,29170.490397060614,567498309102.7323,11523395157.99864,Bitcoin
2023-08-17,28754.197021112574,559982624303.4923,14809979642.373245,Bitcoin
2023-08-17,26335.105221395104,512841574625.4269,26670411991.906715,Bitcoin
2023-08-04,1835.7013026752861,220768212248.9121,5908647350.667135,Ethereum
2023-08-05,1828.4611937761101,219476177802.69766,6229669774.689679,Ethereum
2023-08-06,1835.0705778421902,220487019493.58868,2952349825.885361,Ethereum
2023-08-07,1826.7067792702178,219533986979.75125,2992818475.645687,Ethereum
2023-08-08,1826.9334855730522,219422824381.99362,7660232552.642202,Ethereum
2023-08-09,1856.8441445120409,223111331723.6391,7498117030.737751,Ethereum
2023-08-10,1855.8907273266504,222992437544.13272,6010104016.055266,Ethereum
2023-08-11,1850.8769886993493,222411268370.8958,3733537744.9027367,Ethereum
2023-08-12,1847.5418351143242,222019374228.76486,3694816570.962365,Ethereum
2023-08-13,1848.505238656101,222069758272.72742,2215986526.7016535,Ethereum
2023-08-14,1839.5128095422053,220948326523.33356,3642424563.740612,Ethereum
2023-08-15,1843.5133910053466,221564238004.30878,4495324729.871393,Ethereum
2023-08-16,1826.9131281594616,219472776850.51178,4416612452.1140585,Ethereum
2023-08-17,1809.4604742643007,217444475880.3843,6472231164.689248,Ethereum
2023-08-17,1642.3139607054786,197418177213.78848,17491618940.69364,Ethereum
2023-08-04,241.14378745446638,37132273836.48571,390117777.86190295,BNB
2023-08-05,241.49220755981716,37114346769.65236,359584156.02984935,BNB
2023-08-06,242.88197000996811,37367854737.81706,251536722.07828715,BNB
2023-08-07,242.57499805629092,37324600944.7933,372359290.6820566,BNB
2023-08-08,241.73842465058874,37176907148.642685,410120374.0576311,BNB
2023-08-09,245.17942748941834,37713239950.15089,470639117.90814054,BNB
2023-08-10,244.01031482836078,37541806213.868256,401504275.2124687,BNB
2023-08-11,241.2319119151888,37112194985.219864,339047442.161706,BNB
2023-08-12,239.59582183259565,36864812015.19563,363763402.7761661,BNB
2023-08-13,240.0884451308951,36943552949.5638,195205362.18388578,BNB
2023-08-14,240.03079245155018,36913820931.58021,230763796.0344269,BNB
2023-08-15,240.35805612254566,36970232010.680595,323212804.63247764,BNB
2023-08-16,236.60728496761962,36440851751.89979,480198153.7569262,BNB
2023-08-17,232.0954857295837,35682968644.367676,518075818.6985822,BNB
2023-08-17,221.92161250851,34208562850.61052,935779395.0957178,BNB
2023-08-04,0.6642104250823613,35083597032.29245,1277296653.4007647,XRP
2023-08-05,0.6358100524337328,33547950040.331524,1200556083.392803,XRP
2023-08-06,0.6284302339961231,33126867546.145435,1002199104.3092477,XRP
2023-08-07,0.6221532337189516,32768402681.78805,771069752.2066147,XRP
2023-08-08,0.6208379591018611,32710392083.95866,1327007615.2127016,XRP
2023-08-09,0.6426242001562646,33895961202.844006,1375092164.8041742,XRP
2023-08-10,0.6436052062261336,33977423508.897026,1498394768.283378,XRP
2023-08-11,0.6332138416848744,33426764509.192726,1063357974.3368189,XRP
2023-08-12,0.631617580467985,33340650585.52871,924970915.6402841,XRP
2023-08-13,0.6270807267798834,33093472877.81856,502921367.1804816,XRP
2023-08-14,0.6256892005801732,33020932779.51416,620939906.9800236,XRP
2023-08-15,0.6346809011389943,33526777989.722347,967305278.5730306,XRP
2023-08-16,0.6093303800158635,32153506290.77583,1200448874.4198472,XRP
2023-08-17,0.5892528804005854,31112167895.250828,1563955567.709246,XRP
2023-08-17,0.5150913667826096,26831825336.927,2487811192.352501,XRP
2023-08-04,0.07364205096480092,10364797280.7775,434504375.1851865,Dogecoin
2023-08-05,0.07347115151999366,10314695236.89593,362395292.1018645,Dogecoin
2023-08-06,0.0756030103532975,10615515707.6051,539033839.7708057,Dogecoin
2023-08-07,0.07414869988994734,10417875379.22538,369057587.49867415,Dogecoin
2023-08-08,0.07337445878546754,10308694505.987484,398305731.048855,Dogecoin
2023-08-09,0.075010141400058,10540041723.27261,374950347.81674397,Dogecoin
2023-08-10,0.07538491798507338,10596774387.684277,369748154.4788845,Dogecoin
2023-08-11,0.07575914683840941,10641945541.16315,399366004.76722986,Dogecoin
2023-08-12,0.07571372651610539,10636295250.111061,263740989.01364213,Dogecoin
2023-08-13,0.07669635362899262,10774454527.397196,385515900.69012594,Dogecoin
2023-08-14,0.07477774953713263,10503954202.787533,325530830.8297274,Dogecoin
2023-08-15,0.0747643472233638,10515116058.04597,433958600.0715877,Dogecoin
2023-08-16,0.07081813592450618,9960603735.57354,485736337.2786123,Dogecoin
2023-08-17,0.06731245462385212,9467162719.066757,540891262.9373858,Dogecoin
2023-08-17,0.06212430085830729,8641978108.837215,849697522.774542,Dogecoin
