Date,Price,MarketCap,TotalVolume,Stablecoin,Currency
2023-08-04,0.9986798538079776,83841060938,17894208326,tether,
2023-08-05,0.998912495470958,83719693334,11293689345,tether,
2023-08-06,0.9989869260138814,83816979241,8632620439,tether,
2023-08-07,0.9983198416783464,83751692193,11345706293,tether,
2023-08-08,0.9988731533009276,83464564710,22713171469,tether,
2023-08-09,0.9999454982095488,83534670798,25194087093,tether,
2023-08-10,0.99971200824011,83496944483,18767301829,tether,
2023-08-11,0.9988989814309316,83445632345,10890096033,tether,
2023-08-12,0.9989379212012732,83313809612,8184751224,tether,
2023-08-13,0.9993771983831886,83355420569,9189020281,tether,
2023-08-14,0.9993836393270444,83303287526,9254138040,tether,
2023-08-15,0.998712649259746,83323482665,12792365654,tether,
2023-08-16,0.9988934302939576,83089141821,18746693270,tether,
2023-08-17,0.9997501195088656,83061154615,23160234770,tether,
2023-08-17,1.0020931594578688,83191014027,41091502697,tether,
2023-08-04,0.9996285234799422,26094832146,21863112794,usd-coin,
2023-08-05,1.00042485438913,26032430433,3411266718,usd-coin,
2023-08-06,0.9998442769888788,26040360466,1675708346,usd-coin,
2023-08-07,0.9998135184731948,26043142435,1874548744,usd-coin,
2023-08-08,1.0000726716840154,26135117669,3622888390,usd-coin,
2023-08-09,1.000084807207946,26308031420,3754964287,usd-coin,
2023-08-10,1.0000019535862,26284261152,3016939902,usd-coin,
2023-08-11,0.9998613919156136,26152601233,2203564212,usd-coin,
2023-08-12,1.0002693796319049,26116498500,1575234195,usd-coin,
2023-08-13,0.9998800709724546,26161944529,1242418455,usd-coin,
2023-08-14,0.9999806676218262,26180583371,1681826723,usd-coin,
2023-08-15,0.9996884425110618,26004359971,2461885539,usd-coin,
2023-08-16,0.9999747938591852,26032843936,3215612150,usd-coin,
2023-08-17,1.0009391718165703,26085565901,3877504000,usd-coin,
2023-08-17,1.005114350370824,26347092945,8765862282,usd-coin,
2023-08-04,1.0001191246675198,4053357489,131679594,dai,
2023-08-05,1.0005402594185786,4029077670,209794476,dai,
2023-08-06,1.0003301032660623,4034875321,132508117,dai,
2023-08-07,0.9998699958918646,4036014525,150551791,dai,
2023-08-08,0.9996348022886812,4030372874,133325065,dai,
2023-08-09,1.0000691356155786,4043202455,197100141,dai,
2023-08-10,1.0001285970884923,4049241793,136657145,dai,
2023-08-11,0.9997384303386552,4005538989,92653749,dai,
2023-08-12,0.9997245039253416,3966647805,74527928,dai,
2023-08-13,0.9997296780812844,4007856491,68155296,dai,
